artista,oyentes,reproducciones,bio_resumen,pais
Nicola Conte,439657,5345431,"Nicola Conte is a DJ and producer from Bari, Italy known for introducing an innovative style of acid jazz that incorporates bossa nova themes, melodies drawn from Italian film scores of the 1960's, easy listening themes, and ethnic Indian music.

Conte, a classically-trained musician, is mastermind of a collective of acid jazz revivalists, ""The Fez collective"" (and originally a member of the group Fez Combo), based in the Italian town of Bari, and the Schema label, their record label for promoting their distinctly Italian approach to acid jazz. <a href=""https://www.last.fm/music/Nicola+Conte"">Read more on Last.fm</a>",India
m.o.v.e,70568,2138789,"m.o.v.e (formerly known as move) was a 3-member Japanese musical group. The group consists of yuri (益田祐里, Masuda Yuri, vocalist), motsu (瀬川素公, Segawa Mototaka, rapper) and t-kimura (木村貴志, Kimura Takashi, producer).

In 1996, after the break up of t-kimura's previous project Favorite Blue, he formed the band move and, by 1997, they released their first single ROCK IT DOWN. They however truly achieved fame when their followup single, around the world, was used as the opening theme for the anime Initial D (頭文字D). <a href=""https://www.last.fm/music/m.o.v.e"">Read more on Last.fm</a>",Japan
Saint Privat,151373,2273270,"Saint Privat is a project begun by Austrian electronic musician Klaus Waldeck (best known as Waldeck), in 2004. Waldeck combined his sounds with the voice of lead singer Valérie Sajdik (aka Valerie), who was born near Vienna, then grew-up in Moscow and France, speaking German, French, English and Russian. The name of the project stems from the commune of Saint-Privat, in southern France, where Valérie lives.

saint privat ist ein Wiener Band-Projekt des DJs und Produzenten Klaus Waldeck. <a href=""https://www.last.fm/music/Saint+Privat"">Read more on Last.fm</a>",Austria
Etro Anime,127220,1448329,"Etro Anime is an electronic band from New York City formed in 1998. Musical genres used by the band include drum and bass, deep house, trip hop, and breakbeat. The name ""Etro Anime"" means ""to be infinite in spirit.""

The band currently is a collective featuring Anais Alonso on vocals.   Led by producer Ted Birkey, the two collaborated with writer/producers Jeff Baldwin, Dave Fisher, John Kanselaar, Keith Schweitzer, Joe Tagliareni, and Malik Worthy to release Etro Anime's second full-length album, ""Spreading Silence. <a href=""https://www.last.fm/music/Etro+Anime"">Read more on Last.fm</a>",
Ann Lee,185838,917026,"Ann Lee was born on 12-11-1972 in Sheffield, England. She went to Italy a few years ago. There, in a discotheque, she started to sing to share a laugh with some friends. She was spotted by a talent scout who invited her to an audition where they were looking for session singers and vocalists.

She passed the audition with flying colours and began doing session work. She also decided that great food and sunshine were a good reason to stay in Italy. <a href=""https://www.last.fm/music/Ann+Lee"">Read more on Last.fm</a>",
Soel,40479,266870,"The way trumpeter Pascal Ohsé sees it, R&B, soul, and jazz are ""the closest thing we have to a universal musical language."" The longtime St. Germain associate also believes it is a language that needs an update once in a while, something his Soel project set out to do from the start. Touring with the jazz and electronica-blending St. Germain meant Ohsé had access to St. Germain leader Ludovic Navarre's enormous collection of vintage vinyl. Digging dusty grooves during the day and playing contemporary <a href=""https://www.last.fm/music/Soel"">Read more on Last.fm</a>",
Blockhead,698760,16055816,"There are multiple artists artists using the name Blockhead

1) A trip-hop artist from New York City
2) A Swiss darkwave band
3) A Japanese punk band
4) A hardcore punk band from Washington, DC
5) A hardcore punk band from Vancouver, BC, Canada with members of Koszmar / SNØB 

1) Blockhead grew up in downtown New York City. The son of an artist, early on he found his passion was for music. A fan of a whole range of sounds, especially hip-hop, Blockhead steadily built a tremendous collection of tapes and later CDs from innumerable artists. <a href=""https://www.last.fm/music/Blockhead"">Read more on Last.fm</a>",Japan
Ochre,196867,3392669,"Ochre is the work of Christopher Leary, originally from England, currently based in Den Haag, Netherlands. He has been writing intricate electronic music since 2001, and has released on Toytronic, Benbecula Records, Village Green, Tramworks, Shipwrec, Lapsus, and Mystic and Quantum, in addition to his own Aura Materia imprint.

Stylistically, his music is often highly melodic, described by the NME as being “full of shimmering electronics, crunchy <a href=""https://www.last.fm/music/Ochre"">Read more on Last.fm</a>",
Calibre,232011,4219190,"Dominick Martin aka Calibre is the 1st exclusively Irish Drum and Bass artist.

Classically trained in violin, he dropped this for drums and began playing in various bands, before finding early Detroit techno and house. His inspiration around that time is said to wander around the likes of Kenny Larkin, Carl Craig, Juan Atkins, the Orb.

His brother introduced Calibre to drum and bass and jungle, which at first he couldn’t follow the pattern as he felt it was too relentless and 'beaty' <a href=""https://www.last.fm/music/Calibre"">Read more on Last.fm</a>",Ireland
TOM & JOY,12592,59320,biografia no encontrada,
Günther,146459,1249609,"There are at least three very different artists that go by the name Günther. One is a highly-sexualized Swedish pop singer (pictured left), the second is a symphonic rock trio from Calgary whose ""Rock digs deep into an abyss of tonal expanses and constructs an impenetrable wall of resonance and covetous frequencies"" and finally Gunther from Lebanon who's an Electronic music DJ. The beginning of this article focuses on the former, and for more on the latter visit http://guntherrock.ca. <a href=""https://www.last.fm/music/+noredirect/G%C3%BCnther"">Read more on Last.fm</a>",
Groove Collective,127742,913207,"New York City's Groove Collective transcends musical categories with one goal in mind: to move listeners' minds and feet. For more than a decade, this legendary group of musicians has improvised and refined the stylistic crosspollination of funk, jazz, house, Latin, hip hop, rock and every party-inducing sound in between. The pioneering members of Groove Collective are fluent in the international language of ""groove."" In-the-pocket drum and bass, colorful and vibrant horns <a href=""https://www.last.fm/music/Groove+Collective"">Read more on Last.fm</a>",
UNKLE,1380231,39390244,"
UNKLE, a musical outfit founded in 1994 in London, England, United Kingdom. Originally categorized as trip-hop, the group once included producer DJ Shadow and has employed a variety of guest artists and producers.

From the sleeve notes for the latest release End Titles...Stories For Film released in July 2008, the current line-up is stated as James Lavelle and Pablo Clements, also a member of the Psychonauts.

The original line-up was James Lavelle, Tim Goldsworthy (now a member of DFA) and Kudo (Major Force West, Skylab). <a href=""https://www.last.fm/music/UNKLE"">Read more on Last.fm</a>",
Roxie,29006,283687,"There is more than one artist with that name:

1. Roksana Węgiel (born 11 January 2005) sometimes known as Roxie, is a Polish singer. She represented Poland in the Junior Eurovision Song Contest 2018 with the song ""Anyone I Want to Be"", and went on to win the competition. She is the first Polish entrant to win the Junior Eurovision Song Contest.

Roksana Węgiel has received numerous accolades, including MTV Europe Music Award for Best Polish Act 2019, nomination for Kids' Choice Award and Polish awards Fryderyk. <a href=""https://www.last.fm/music/Roxie"">Read more on Last.fm</a>",
ScubaZ,88109,525746,biografia no encontrada,
DJ Cam,531340,6314608,"Parisian hip-hop devotee Laurent Daumail is one of a few but growing number of French artists updating hip-hop for the chill-out crowd, drawing on the beats'n'samples groundwork of producers such as Rakim, DJ Premier, and Prince Paul and combining it with broad, impressionistic strokes of dub, jazz, and soundtrack-y ambience. Like countrymen the Mighty Bop and la Funk Mob, Cam is stylistically closest to Mo'Wax artists such as DJ Shadow and DJ Krush; minimalist <a href=""https://www.last.fm/music/DJ+Cam"">Read more on Last.fm</a>",France
Mariah Carey,4803037,238804260,"Mariah Carey (born March 27, 1969, Huntington, New York, USA) is an American singer, songwriter, actress, record producer, and #1 New York Times bestselling author. Carey is one of the best-selling music artists of all time, with over 220 million records sold worldwide. She holds the record for the most Billboard Hot 100 number-one singles by a solo artist (19), a female songwriter (18), and a female producer (15). Referred to as the ""Songbird Supreme"" <a href=""https://www.last.fm/music/Mariah+Carey"">Read more on Last.fm</a>",United States
edIT,220097,4678187,"Born and raised in Weston, Massachussetts, Edward Ma, now known to the world as edIT, began his music career as ""The Con Artist"" just before the turn of the millennium. As a resident DJ at the now defunct Konkrete Jungle Los Angeles, he shared the stage with Hive, Daddy Kev, James Tai and mic rockers Busdriver, P.E.A.C.E. and Mikah 9. Konkrete Jungle marked the golden age of indie hip-hop in Los Angeles, and was the bridge between the jungle and b-boy massives. <a href=""https://www.last.fm/music/edIT"">Read more on Last.fm</a>",
Gabin,299902,3512989,"Gabin (pronounced gæ'bæn) is the Italian based duo of Filippo Clary and Max Bottini. Their name is a reference to the most popular French actor of the ’30s and ‘40s- Jean Gabin, a classic world-weary screen antihero. It has now been two years since the release of their self-titled debut album featuring the international hit ""Doo Uap, Doo Uap, Doo Uap"". Quite unexpectedly, this Italian duo found themselves with not only a Top Ten hit in their homeland <a href=""https://www.last.fm/music/Gabin"">Read more on Last.fm</a>",France
Funki Porcini,534385,6189389,"Funki Porcini is composer and film maker James Braddell (a.k.a Giacomo Braddellini). His swirling mixtures of downtempo breaks, smooth ambiance, and disjointed drum'n'bass helped put the London-based Ninja Tune label on the map. His latest album is ""Modern Hymns for Modern Things"" (September 2025, self-release).

Funki Porcini began making music in San Francisco when he moved into The Residents' old warehouse. After much experimentation with early <a href=""https://www.last.fm/music/Funki+Porcini"">Read more on Last.fm</a>",
Mark Rae,53801,343382,"Hailing from the UK, Mark Rae made his mark in Europe’s music scene following the success of his first collaboration, Rae & Christian, as well as establishing the former Grand Central Records and Manchester’s Fat City record shop.
 
Mark has produced over 100 remixes for artists including Bob Marley, Jay-Z and Dinah Washington as well as the Six Feet Under theme song.  Under Rae & Christian, he released two albums including Northern Sulphuric Soul which ranked on the Top 50 British Dance Albums of All Time. <a href=""https://www.last.fm/music/Mark+Rae"">Read more on Last.fm</a>",United Kingdom
666,187722,1662951,"666 may refer to multiple artists:

1. 666 was a German DJ act, formed by Thomas Detert and Mike Griesheimer in 1997. They produced a mix of electronic music and often included lyrics in Spanish and English. The act disbanded in 2005.

2. A heavy/speed metal band from Caseros, Buenos Aires, Argentina, which released a demo in 1986.

3. A thrash/black metal band from Czechia.

4. A black metal band from Hungary.

5. A groove/thrash metal/hard rock band from Japan. <a href=""https://www.last.fm/music/666"">Read more on Last.fm</a>",Germany
The Prodigy,2911713,138363500,"The Prodigy is an English electronic dance music band from Braintree, Essex, formed in 1990 by keyboardist and songwriter Liam Howlett. The line-up of the band has included MC and vocalist Maxim, dancer and vocalist Keith Flint (until his death in March 2019), dancer and live keyboardist Leeroy Thornhill (who left to pursue a solo career in 1999), and dancer and vocalist Sharky (1990-1991). Along with the Chemical Brothers and Fatboy Slim, The Prodigy are credited as pioneers of the breakbeat-influenced genre big beat <a href=""https://www.last.fm/music/The+Prodigy"">Read more on Last.fm</a>",
Roni Size,343074,3198002,"Roni started on the path of production when he was thrown out of school aged 16, but music had always been a part of his life. Born and raised in Bristol, the sounds of the 70s blues parties and sound-systems happening in the St Pauls area of the city infected Roni's bones.

Meeting up with Krust in the early 90s brought two musically compatible minds together, subsequently creating Full Cycle in 1993 and a new direction for electronic music.

Having built a name for himself through Full Cycle and other labels <a href=""https://www.last.fm/music/Roni+Size"">Read more on Last.fm</a>",
Nightmares on Wax,1201448,22650303,"Nightmares on Wax is DJ and musician George Evelyn, also known as DJ Ease (Experimental Audio Sample Expert), from Leeds, United Kingdom. The musical style is a combination of electronic sounds and hip hop beats, often regarded as ""chillout"". Nightmares On Wax's music is released on Warp Records.

Initially working with Kevin Harper a.k.a Boy Wonder their first release was the massive underground hit 'Dextrous' which sampled the as yet unknown A Guy Called Gerald's 'Voodoo Ray' on their own Poverty Records label. <a href=""https://www.last.fm/music/Nightmares+on+Wax"">Read more on Last.fm</a>",
Underworld,1576316,34039712,"Underworld are a British electronic music group initially formed in Cardiff, Wales in 1979 (as ""The Screen Gemz""), and is primarily the collaborative project of Karl Hyde and Rick Smith.

By the early 1980s, Smith and Hyde's post-punk Screen Gemz had morphed into the flamboyant new wave pop quintet Freur, who managed a respectable hit in 1983 with ""Doot Doot"". They went on to release two albums, ""Doot Doot"" (1983), and ""Get Us Out Of Here"" (1986), as well as performing the score for the 1985 movie ""Underworld"" (later ""Transmutations""). <a href=""https://www.last.fm/music/Underworld"">Read more on Last.fm</a>",United Kingdom
Aphex Twin,2905764,209550350,"Richard David James (born 18 August 1971), known professionally as Aphex Twin, is a British musician, composer, and DJ who has been active in electronic music since 1988. His work incorporates a variety of styles, including techno, ambient, acid, and jungle. He is often associated with the intelligent dance music (IDM) genre. Several publications such as Mixmag, The New York Times, NME, Fact, Clash, and The Guardian have recognized him as an influential figure in contemporary electronic music. <a href=""https://www.last.fm/music/Aphex+Twin"">Read more on Last.fm</a>",United Kingdom
Fischerspooner,764730,13640897,"Fischerspooner was an electroclash duo and performance troupe formed in 1998 in New York City. The name comes directly from the last names of the band members; Warren Fischer and Casey Spooner.

Spiking extremely retro electropop tendencies (recalling Kraftwerk, early Depeche Mode, and Gary Numan) with a modern approach to programming, Fischerspooner produces a quirky, robotic, and strangely subdued kind of dance music. Their albums can be seen as soundtracks to their stageshows, as opposed to recordings which are performed live. <a href=""https://www.last.fm/music/Fischerspooner"">Read more on Last.fm</a>",
Caramell,161334,2438022,"Caramell is a Swedish pop band formed in 1998, consisting of singers Malin and Katia, and producers Jorge ""Vasco"" Vasconcelo and Juha ""Millboy"" Myllylä. Jorge Vasconcelo is known for his previous work, writing songs such as La Cream's ""You"" and Dr. Alban's ""This Time I'm Free."" After leaving Dr. Records, Jorge established his own studio in Västerås, Sweden. In November 1998, he and Juha met Malin and Katia in a karaoke bar in Stockholm, which led to the formation of Caramell. <a href=""https://www.last.fm/music/Caramell"">Read more on Last.fm</a>",
Jazzamor,270526,3967469,"Jazzamor is a German musical duo which consists of Bettina Mischke and Roland Grosch. Their music combines elements of lounge music, jazz and bossanova.

When singer Bettina Mischke and keyboard player Roland Grosch decided to found Jazzamor in 2001 they perhaps did not imagine that their minimalistic lounge arrangements would take off so quickly. Two albums in three years have highlighted their productivity as they firm out their smoothe 60s jazzy sounds in Europe's main languages. <a href=""https://www.last.fm/music/Jazzamor"">Read more on Last.fm</a>",Germany
Oasis,5684094,308795084,"Oasis is an English alternative rock band formed in Manchester in 1991. Originally known as the Rain, the group initially consisted of Liam Gallagher (lead vocals, tambourine), Paul Arthurs (guitar), Paul McGuigan (bass guitar) and Tony McCarroll (drums). Liam's older brother Noel (lead guitar, vocals) later joined as a fifth member, finalising the group's core lineup. During the course of their existence, they had various lineup changes, with the Gallagher brothers remaining the only staple members. <a href=""https://www.last.fm/music/Oasis"">Read more on Last.fm</a>",
Barcode Brothers,121205,911450,"The Barcode Brothers is a Danish electronic music duo consisting of Christian Møller Nielsen & Anders Øland. Successful singles from the duo include 'Dooh Dooh', 'Flute', 'It's a Fine Day' and 'Tele', all from the album entitled 'Swipe Me'. <a href=""https://www.last.fm/music/Barcode+Brothers"">Read more on Last.fm</a>",
Vhong Navarro,15472,78683,"Vhong Navarro (born Ferdinand Hipolito Navarro on January 4, 1977) is a Filipino actor, dancer, singer, and host at ABS-CBN. He is part of the dance group Streetboys in the Philippines.

Totoy Bibbo (2004)
Don Romantiko (2005)
Chickboy (2007)
Let's Dance (2008)
Best Novelty Hits (2008) <a href=""https://www.last.fm/music/Vhong+Navarro"">Read more on Last.fm</a>",
Modjo,1474488,15445280,"Modjo was a French house music duo formed in Paris in 1999 by producer Romain Tranchart and singer Yann Destagnol. The group gained international recognition with the release of the single ""Lady (Hear Me Tonight)"" in 2000. They also released the songs ""Chillin'"" and ""No More Tears"" in 2001, both of which achieved commercial success.

Romain Tranchart was born on 9 June 1976 in Paris. He spent parts of his childhood in Algeria, Mexico, and Brazil. While living abroad, he began learning the guitar, with an early interest in jazz. <a href=""https://www.last.fm/music/Modjo"">Read more on Last.fm</a>",France
The Underdog Project,272812,1916424,"The Underdog Project is a popular band which launched its first album - It Doesn't Matter - in 2001. Its hits include ""Saturday Night"", ""Summer Jam"" and ""Tonight"". The band has three members: Vic Krishna (vocals), DJ Frank (remixes) and AJ Duncan (keyboards).

The band was formed when Vic Krishna was visiting Germany and had a jam session with Canadian singer Craig Smart and the production team of Tone Def and Triple S. It went well, so they started recording - mostly demo tapes, but also full-fledged tracks. <a href=""https://www.last.fm/music/The+Underdog+Project"">Read more on Last.fm</a>",Canada
Télépopmusik,976145,13195982,"Télépopmusik is a French electronic music trio. The group's first album was Genetic World, and several singles from the album have been released since. The group's second album, Angel Milk was released in 2005. Télépopmusik consists of musicians Fabrice Dumont (bass, of the pop band Autour de Lucie), Stephan Haeri (also known as 2 Square for his solo projects), and Christophe Hetier who DJ's under the name of Antipop. Most of the vocals are provided by Angela McCluskey, formerly of the folk band Wild Colonials. <a href=""https://www.last.fm/music/+noredirect/T%C3%A9l%C3%A9popmusik"">Read more on Last.fm</a>",France
Koop,851288,14681968,"Koop is the Swedish electronic jazz duo of Magnus Zingmark and Oscar Simonsson from Uppsala, Sweden, formed in 1995. Though the music may sound as if it is played by a tight jazz group, it is actually sample-based. Thousands of small clips of drums, strings, horns, and choirs are taken from old records and puzzled together into new songs.  This time consuming production process is one of the reasons Koop's albums are released 4-5 years apart. 

The group's 3 albums all feature guest vocalists. <a href=""https://www.last.fm/music/Koop"">Read more on Last.fm</a>",
Haddaway,1580338,11412532,"Haddaway (born Nestor Alexander Haddaway on January 9, 1965 in Trinidad) is a Eurodance/House musician. Born into a local family, his mother was a local nurse, and his father, a Dutch oceanographer. He completed a doctorate in political science and history from George Washington University in Washington DC, before moving to Cologne, Germany, in 1989. He presently lives in Kitzbühel, Austria.

Haddaway's biggest hit, ""What Is Love,"" became very popular across Europe (reaching #2 in the UK), North America and Australia after its 1993 release. <a href=""https://www.last.fm/music/Haddaway"">Read more on Last.fm</a>",Netherlands
Harry Corpuz,648,4142,biografia no encontrada,
LTJ Bukem,354508,4988685,"In the mid eighties, at the age of seventeen, Bukem discovered the joys of clubbing. The teenager regularly checked out the local soul clubs and legendary rare groove all dayers. During this time he also ran a jazz funk band. DJing however, was his main thing and by 1987 he gained something of a reputation for his sets. In 1990, LTJ Bukem got his first big break - at 'Raindance'. Booked to play in front of a crowd of 10,000...  

Bukem then ventured <a href=""https://www.last.fm/music/LTJ+Bukem"">Read more on Last.fm</a>",
Björk,3317528,243773413,"Björk Guðmundsdóttir (born 21 November 1965), known mononymously as Björk, is an Icelandic singer, songwriter, composer, record producer, and actress. Noted for her distinct three-octave vocal range and eccentric persona, she has developed an eclectic musical style over her four-decade career that has drawn on electronic, pop, experimental, trip hop, jazz, classical, and avant-garde music.

Born and raised in Reykjavík, Björk began her music <a href=""https://www.last.fm/music/+noredirect/Bj%C3%B6rk"">Read more on Last.fm</a>",
Fantasy Project feat. NDA,97103,722429,biografia no encontrada,
Kim Lukas,18647,132594,"Kim Lukas was born in London. She has always had a great passion for theatre and music and from an early age she started performing in theatre shows and musicals. She studied at the drama school ‘The Academy of Live and Recorded Arts’ in London, where she continued to improve on her acting, singing and dance techniques. After having finished her studies she worked with many different Theatre Companies including ‘The English Shakespeare Company’ and she also took part in the famous ‘Edinburgh Festival’. <a href=""https://www.last.fm/music/Kim+Lukas"">Read more on Last.fm</a>",
Beverlei Brown,8070,59764,"Beverlei Brown gleaned her singing skills from her mother, who sang in her church's choir in Birmingham, England. When she was old enough, Brown sang with the choir and eventually became the leader. 

She performed a solo with the Clark Sisters at the gospel wailers' U.K. concert and caught a sweet break with the Fine Young Cannibals, who needed some gospel singers for an album project; with Brown onboard, the sessions were good enough to land FYC a record deal and Brown a gig on their worldwide promotional tour.  <a href=""https://www.last.fm/music/Beverlei+Brown"">Read more on Last.fm</a>",
J-Walk,131245,900328,"J-Walk refers to four groups; a Korean based group, a British duo, an American rapper, and a Japanese group.

J-Walk or jwalk is Korean musical duo formed by two former Sechs Kies members.
After Sechskies had disbanded, 2 years later, Kim Jae Duc and Jang Su Won formed a duet under Kiss Entertainment. They became Daesung's top performers and would soon team with fellow lablemate Click-B to create DSP's new boyband JnC. After the collaboration, there were talks of a third album release. <a href=""https://www.last.fm/music/J-Walk"">Read more on Last.fm</a>",Japan
Danzel,255700,1455022,"Danzel is a Belgian house and dance singer who reached the Top 10 in late 2004 with the single ""Pump It Up"".

Danzel alias Johan Waem was born in Beveren-Waas, Belgium on November 9, 1976.
He was 1 of the 20 finalists of the Belgian Idols; ""Idool 2003"".

Singles

""You Are All Of That""
You Are All Of That was the first single released by Ministry Of Sound in late 2003 in the UK Singles Charts. The first single of the English DJ Danzel was a failure, reaching the Number 80 in the UK Singles Charts, and the Number 69 in the UK Dance Charts. <a href=""https://www.last.fm/music/Danzel"">Read more on Last.fm</a>",Belgium
Reflekt,150933,1241692,"(1) Reflekt is a dance music outfit from England. The act consists of DJ/remixer/producers Seb Fontaine and Jay Peake (aka Jay P.), with Delline Bass doing vocals.

The act is well known for their 2004 international club hit ""Need To Feel Loved"", which reached number 1 on the British Dance Charts. That song, which samples ""Ghosts"" by Thomas Newman from the 2003 movie ""The Road To Perdition,"" is featured in the 2005 British/Canadian film ""It's All Gone Pete Tong."" <a href=""https://www.last.fm/music/Reflekt"">Read more on Last.fm</a>",United Kingdom
Ocean Colour Scene,648663,8630797,"Ocean Colour Scene (often abbreviated to OCS) are an English rock band formed in Birmingham in 1989. They have had five top 10 albums including a number one in 1997. They have also achieved seventeen top 40 singles and six top 10 singles to date. They were formed after two other bands called The Boys and Fanatics disbanded. Fanatics released an EP titled Suburban Love Songs. OCS signed to Phfftt Records in 1990. Their first single, ""Sway"", was released in September 1990 during the alternative era. <a href=""https://www.last.fm/music/Ocean+Colour+Scene"">Read more on Last.fm</a>",
Soulstice,206216,2280406,"There are, at least, four artists known as Soulstice: 1) A downtempo / trip-hop group, with: Andy Caldwell, Gabriel Rene, Mei-Lwun Yee & Gina Rene. 2) A Chicago native MC (half of Wade Waters & solo). 3) A from Syracuse vegan straight edge band (early to mid '90's). 4) An a cappella ensemble comprised of students at McGill University in Montréal, Québec. 

1) A 'downtempo' / 'trip-hop' group, consisting of Andy Caldwell (keyboards), Gabriel Rene (keyboards), Mei-Lwun Yee (turntables) & Gina Rene (vocals). <a href=""https://www.last.fm/music/Soulstice"">Read more on Last.fm</a>",
DVS1,36340,242663,"Zak aka DVS1, is one of the most prominent figures in the Minneapolis dance music landscape today. A local DJ favorite since the mid nineties, DVS1 continues to move floors with a combination of deep musical knowledge, unparalleled enthusiasm, and a vinyl collection of more than 10,000 records. <a href=""https://www.last.fm/music/DVS1"">Read more on Last.fm</a>",
